authors,original_publication_year,title,Genre,Desc,rating,image_url,,,,,,pdf
Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Fiction,"Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.",4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg,,,,,,https://drive.google.com/file/d/11fX1nvECJY7Vx_gapeNS2yYhOpROfRIF/view?usp=sharing
Louisa May Alcott,1868,"Little Women (Little Women, #1)",Classics,"It is no secret that Alcott based Little Women on her own early life. While her father, the freethinking reformer and abolitionist Bronson Alcott, hobnobbed with such eminent male authors as Emerson, Thoreau, and Hawthorne, Louisa supported herself and her sisters with ""woman’s work,” including sewing, doing laundry, and acting as a domestic servant. But she soon discovered she could make more money writing. Little Women brought her lasting fame and fortune, and far from being the ""girl’s book” her publisher requested, it explores such timeless themes as love and death, war and peace, the conflict between personal ambition and family responsibilities, and the clash of cultures between Europe and America.",4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,,,,https://drive.google.com/file/d/1r1ixXC-9CWn1Lx-IZ66sEuV5HKRFvpn_/view?usp=sharing
"Charlotte BrontÃ«, Michael Mason",1847,Jane Eyre,Classics,"Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?",4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg,,,,,,https://drive.google.com/file/d/185sLnG6RnBJGlRzTtJVdD8x58Sn03vwf/view?usp=sharing
Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",Fiction,"Set amid the austere beauty of the North Carolina coast begins the story of Noah Calhoun, a rural Southerner recently returned from the Second World War. Noah is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summer they spent together, Noah is content to live with only memories...until she unexpectedly returns to his town to see him once again.",4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg,,,,,,https://drive.google.com/file/d/1pMOkN-Erhu0Yd2jgLd-mwZri0EaLAz5C/view?usp=sharing
Yann Martel,2001,Life of Pi,Fiction,"Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.",3.88,https://images.gr-assets.com/books/1320562005m/4214.jpg,,,,,,https://drive.google.com/file/d/1W8vdGGj00ARGJavvExp5mjD_yq995QZT/view?usp=sharing
Sara Gruen,2006,Water for Elephants,Fiction,"When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus struggling to survive during the Great Depression, making one-night stands in town after endless town. A veterinary student who almost earned his degree, Jacob is put in charge of caring for the circus menagerie. It is there that he meets Marlena, the beautiful young star of the equestrian act, who is married to August, the charismatic but twisted animal trainer. He also meets Rosie, an elephant who seems untrainable until he discovers a way to reach her.",4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg,,,,,,https://drive.google.com/file/d/14GoA3uweu6R1IUEdjUi_Eik3Doip1iWw/view?usp=sharing
Markus Zusak,2005,The Book Thief,Classics,"It is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still. By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found.",4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg,,,,,,https://drive.google.com/file/d/1K3_o2ESsq5qX72EkRZNu9lSoqh7FZAH5/view?usp=sharing
Ray Bradbury,1953,Fahrenheit 451,Classics,"Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television 'family'. But then he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people did not live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television.",3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg,,,,,,https://drive.google.com/file/d/1vAfw1NHsVdp6SwEeI0TshTxU_HrulmPt/view?usp=sharing
Stephenie Meyer,2006,"New Moon (Twilight, #2)",Fiction,"I FELT LIKE I WAS TRAPPED IN ONE OF THOSE TERRIFYING NIGHTMARES, the one where you have to run, run till your lungs burst, but you can't make your body move fast enough.... But this was no dream, and, unlike the nightmare, I wasn't running for my life; I was racing to save something infinitely more precious. My own life meant little to me today.",3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg,,,,,,https://drive.google.com/file/d/1-h8ZQy3l6uRlkLT_gl5K-m2HSQ-93E9L/view?usp=sharing
Shel Silverstein,1974,Where the Sidewalk Ends,Poetry,"Where the Sidewalk Ends turns forty! Celebrate with this anniversary edition that features an eye-catching commemorative red sticker. This classic poetry collection, which is both outrageously funny and profound, has been the most beloved of Shel Silverstein's poetry books for generations. Where the sidewalk ends, Shel Silverstein's world begins. There you'll meet a boy who turns into a TV set and a girl who eats a whale. The Unicorn and the Bloath live there, and so does Sarah Cynthia Sylvia Stout who will not take the garbage out. It is a place where you wash your shadow and plant diamond gardens, a place where shoes fly, sisters are auctioned off, and crocodiles go to the dentist.",4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg,,,,,,https://drive.google.com/file/d/17vNNqBL6hmLqz9RXnAM47K7Nd_kOV_TG/view?usp=sharing
Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",Fiction,"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder― much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It's hard to call the police when the murderers are invisible to everyone else and when there is nothing―not even a smear of blood―to show that a boy has died. Or was he a boy?",4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg,,,,,,https://drive.google.com/file/d/15RJkvANgUoj6kASRKzFyLI33eIc1DwXD/view?usp=sharing
Stephenie Meyer,2007,"Eclipse (Twilight, #3)",Fiction,"As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob - knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella has one more decision to make: life or death. But which is which?",3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg,,,,,,https://drive.google.com/file/d/1-0udn3cigGr_-iGGwTtmRTuu9FfWEamW/view?usp=sharing
Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",Fiction,"When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself.",3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg,,,,,,https://drive.google.com/file/d/1HgUbXlqjn53dqdyKy4PqZ0dPDpgRh5GJ/view?usp=sharing
Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Classics,"Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox—the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.",4.2,https://images.gr-assets.com/books/1327656754m/11.jpg,,,,,,https://drive.google.com/file/d/1-x2hoQcFv9KC3f7Rn_VJUZLnQDaVM_Z5/view?usp=sharing
Aldous Huxley,1932,Brave New World,Classics,"Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932. Largely set in a futuristic World State, inhabited by genetically modified citizens and an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation and classical conditioning that are combined to make a dystopian society which is challenged by only a single individual: the story's protagonist.",3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg,,,,,,https://drive.google.com/file/d/1lXpLHTn5Bj--gu_4hZU_lpqWjIbDpvWb/view?usp=sharing
Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",Fiction,"TO BE IRREVOCABLY IN LOVE WITH A VAMPIRE is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.",3.7,https://images.gr-assets.com/books/1361039438m/1162543.jpg,,,,,,https://drive.google.com/file/d/1by_XTqk_b-CTSkgDcfZvXCxenKD0r5LM/view?usp=sharing
Sue Monk Kidd,2001,The Secret Life of Bees,Classics,"Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina--a town that holds the secret to her mother's past. Taken in by an eccentric trio of black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story women will share and pass on to their daughters for years to come.",4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg,,,,,,https://drive.google.com/file/d/1jhKLb-_uXov2bO3blSFMtEpePlqehvvX/view?usp=sharing
"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,Classics,"A nineteenth-century boy from a Mississippi River town recounts his adventures as he travels down the river with a runaway slave, encountering a family involved in a feud, two scoundrels pretending to be royalty, and Tom Sawyer's aunt who mistakes him for Tom.",3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg,,,,,,https://drive.google.com/file/d/17Z8Wek_63Rr7-NtBRW1vVUea4uZfKLpA/view?usp=sharing
"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Classics,"Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.",4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg,,,,,,https://drive.google.com/file/d/1N-LwOndi6kYvLsFIBN9VJylpGKVyLsrG/view?usp=sharing
Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,Mystery,"Although gifted with a superbly logical brain, for fifteen-year-old Christopher everyday interactions and admonishments have little meaning. He lives on patterns, rules, and a diagram kept in his pocket. Then one day, a neighbor's dog, Wellington, is killed and his carefully constructive universe is threatened. Christopher sets out to solve the murder in the style of his favourite (logical) detective, Sherlock Holmes. What follows makes for a novel that is funny, poignant and fascinating in its portrayal of a person whose curse and blessing are a mind that perceives the world entirely literally.",3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg,,,,,,https://drive.google.com/file/d/1sJ83p_wFypkjQhXlcKXaMKEEch3DGyDo/view?usp=sharing
Paula Hawkins,2015,The Girl on the Train,Mystery,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She’s even started to feel like she knows the people who live in one of the houses. “Jess and Jason,” she calls them. Their life—as she sees it—is perfect. If only Rachel could be that happy. And then she sees something shocking. It’s only a minute until the train moves on, but it’s enough. Now everything’s changed. Now Rachel has a chance to become a part of the lives she’s only watched from afar. Now they’ll see; she’s much more than just the girl on the train...",3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg,,,,,,https://drive.google.com/file/d/1oLeSb1-oH8EgC9_YHhKp0icfoi9i6SE2/view?usp=sharing
Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",Fiction,"Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.",3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg,,,,,,https://drive.google.com/file/d/1E1ZgnfkgLrc4n-cIyQ_YmNkEJzWl9QFZ/view?usp=sharing
"Emily BrontÃ«, Richard J. Dunn",1847,Wuthering Heights,Classics,"New to the fourth Edition are twelve of Emily Bronte's letters regarding the publication of the 1847 edition of Wuthering Heights as well as the evolution of the 1850 edition, prose and poetry selections by the author, four reviews of the novel, and poetry selections by the author, four reviews of the novel, and Edward Chitham's insightful and informative chronology of the creative process behind the beloved work. Five major critical interpretations of Wuthering Heights are included, three of them new to the Fourth Edition. A Stuart Daley considers the importance of chronology in the novel. J. Hillis Miller examines Wuthering Heights's problems of genre and critical reputation.",3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,,,,https://drive.google.com/file/d/1d7P-yb3Xb-UZ5lRMYLuZF6I1ke3kqfCO/view?usp=sharing
Jodi Picoult,2004,My Sister's Keeper,Fiction,"Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate—a life and a role that she has never challenged... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sister—and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.",4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg,,,,,,https://drive.google.com/file/d/1sX_Drhb00pvBkwdO7elU3bh8AS3KNIoG/view?usp=sharing
David Beazley,2013,Python cook book,technical,"If you need help writing programs in Python 3, or want to update older Python 2 code, this book is just the ticket.",4.2,https://m.media-amazon.com/images/I/61QP5zR79pL._SX260_.jpg,,,,,,https://drive.google.com/file/d/1qpFsenDzCMO-ctvPID-67S8fW0hdskxC/view?usp=sharing
Dr.M.O.Faruque sarker,2015,learning python network programming,technical,"As the book progresses, socket programming will be covered, followed by how to design servers and the pros and cons of multithreaded and event-driven architectures. You'll develop practical client-side applications, including web API clients, e-mail clients, SSH, and FTP. These applications will also be implemented through existing web application frameworks.",2.34,https://m.media-amazon.com/images/I/61QP5zR79pL._SX260_.jpg,,,,,,https://drive.google.com/file/d/131KBby5MIjFdKf8DxTGFJc9VDHNv0cQT/view?usp=sharing
Richard lawson,2017,Python Web scrapping,technical,"his book is the ultimate guide to using the latest features of Python 3.x to scrape data from websites. In the early chapters, you’ll see how to extract data from static web pages. You’ll learn to use caching with databases and files to save time and manage the load on servers. After covering the basics, you’ll get hands-on practice building a more sophisticated crawler using browsers, crawlers, and concurrent scrapers.",4.6,https://static.packt-cdn.com/products/9781786462589/cover/smaller,,,,,,https://drive.google.com/file/d/1DUooQzAByb2AQ2MgWupggxLEciG0iwZu/view?usp=sharing
T.J.Barth,2016,Programming for Computations,technical,The book outlines the shortest possible path from no previous experience with programming to a set of skills that allows the students to write simple programs for solving common mathematical problems with numerical methods in engineering and science courses.,4.5,https://images-eu.ssl-images-amazon.com/images/I/4129RvRG9VL._SX342_SY445_QL70_ML2_.jpg,,,,,,https://drive.google.com/file/d/1sgb1WswAxJ2Khdkm27ur9m1f8Q9NR1Tt/view?usp=sharing
Dmitry Zinoview,2018,Complex Network analysis,technical,"Complex Network Analysis studies how to recognise, describe, visualise and analyse complex networks. ... The two most important concepts concerning networks are entities and the relationships between them. Entities are referred to as nodes and relationships are known as edges",4.4,"https://images-na.ssl-images-amazon.com/images/I/51flQ-b+F8L._SX415_BO1,204,203,200_.jpg",,,,,,https://drive.google.com/file/d/1QrWW3i4iHIA12c0qB6DqULQSawwTU2xs/view?usp=sharing
Zed Shaw,2014,learn python hardway,technical,"Zed Shaw has perfected the world’s best system for learning Python 3. Follow it and you will succeed—just like the millions of beginners Zed has taught to date! You bring the discipline, commitment, and persistence; the author supplies everything else.",4.2,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSOndEdFtQnpyp3CwJXfCQYHDZzPpkcSxEftira5ZKHNg_VE8O4,,,,,,https://drive.google.com/file/d/1Csr2mvMFvDbr_mitFGir6Bj19twOVsv7/view?usp=sharing
Ramez Elmasri,1994,Fundamentals of database system,technical,"Clear explanations of theory and design, broad coverage of models and real systems, and an up-to-date introduction to modern database technologies result in a leading introduction to database systems. Intended for computer science majors, Fundamentals of Database Systems, 6/e emphasizes math models, design issues, relational algebra, and relational calculus.",3.4,https://images-na.ssl-images-amazon.com/images/I/91Se3g7PINL.jpg,,,,,,https://drive.google.com/file/d/1E5BR94qWDt8dHZBrPoDpic81T_5LwwaD/view?usp=sharing
Pete Warden,2017,Building mobile application tensorflow,technical,Explore a preview version of Building Mobile Applications with TensorFlow right now.,4.1,https://learning.oreilly.com/library/cover/9781491988435/250w/,,,,,,https://drive.google.com/file/d/11C47TsFDOARx0yVngn29GyyevCC0iaSO/view?usp=sharing
Stephen F. Elston,2016,Data science in the cloud,technical,Explore a preview version of Data Science in the Cloud with Microsoft Azure Machine Learning and Python right now.,3.6,https://learning.oreilly.com/library/cover/9781492042594/250w/,,,,,,https://drive.google.com/file/d/1EuFpYFUcnB9D6XsLXV9DK7dBjsYtYfGq/view?usp=sharing
Tom Hope,2017,learning tensorflow,technical,"Roughly inspired by the human brain, deep neural networks trained with large amounts of data can solve complex tasks with unprecedented accuracy. This practical book provides an end-to-end guide to TensorFlow, the leading open source software library that helps you build and train neural networks for computer vision, natural language processing (NLP), speech recognition, and general predictive analytics.",4.1,https://learning.oreilly.com/library/cover/9781491978504/250w/,,,,,,https://drive.google.com/file/d/14VR5-e-7YBIagVCVQbFmBe7rJok14TGp/view?usp=sharing
John Paul Mueller,2016,Machine Learning For Dummies,technical,"Your no-nonsense guide to making sense of machine learning Written by two data science experts, Machine Learning For Dummies offers a much-needed entry point for anyone looking to use machine learning to accomplish practical tasks.",4.5,"https://images-na.ssl-images-amazon.com/images/I/514PnCc2a9L._SX258_BO1,204,203,200_.jpg",,,,,,https://drive.google.com/file/d/1GfWUUZiQ2JsTZSVxmqxJFsjJH1tXsR6P/view?usp=sharing
Francesco Corea,2018,An Introduction to data,technical,"Everything You Need to Know About AI, Big Data and Data Science. Authors: Corea, Francesco. An essential introductory book on innovation, big data, and data science from a business perspective.",2.4,https://m.media-amazon.com/images/I/41mOk3dgkLL.jpg,,,,,,https://drive.google.com/file/d/1Qy7-Y20TM8hWNXCK8Whx17Kf3zAfr5Qc/view?usp=sharing
Patrick Hall,2019,An Introduction to Machine learning interpretability,technical,"Innovation and competition are driving analysts and data scientists toward increasingly complex predictive modeling and machine learning algorithms. This complexity makes these models accurate but also makes their predictions difficult to understand. When accuracy outpaces interpretability, human trust suffers, affecting business adoption, regulatory oversight, and model documentation.",4.2,https://learning.oreilly.com/library/cover/9781492033158/250w/,,,,,,https://drive.google.com/file/d/1BZVshFGheIj2Ga2I-Zjl-OiltfGqk-9G/view?usp=sharing
Tom white,2009,Hadoop The Definitive Guide,technical,"Hadoop: The Definitive Guide helps you harness the power of your data. Ideal for processing large datasets, the Apache Hadoop framework is an open source implementation of the MapReduce algorithm on which Google built its empire. This comprehensive resource demonstrates how to use Hadoop to build reliable, scalable, distributed systems: programmers will find details for analyzing large datasets, and administrators will learn how to set up and run Hadoop clusters.",4,https://images-na.ssl-images-amazon.com/images/I/912Ok+QXRGL.jpg,,,,,,https://drive.google.com/file/d/1ifYQVD3x9DyA_juLY32HyCzvxWfuQ__g/view?usp=sharing
Gary Bradski,2008,Learning OpenCv,technical,"This library is useful for practitioners, and is an excellent tool for those entering the field: it is a set of computer vision algorithms that work as advertised.""-William T. Freeman, Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology",4.1,https://m.media-amazon.com/images/I/51EC+zLc4KL.jpg,,,,,,https://drive.google.com/file/d/17g9Mx0ngqVJw5Jbimz7Z8ZnQrmyGs9cs/view?usp=sharing
Davy Cielen,2016,Introduction to Data Science,technical,Data Science has become one of the hottest fields in technology. Firms worldwide are scrambling to find developers with data science skills to work on projects ranging from social media marketing to machine learning but the prerequisite knowledge and experience for this career can seem bewildering. This book is designed to help anyone who wants to learn more about data science get started.,4.5,https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781633430037/introducing-data-science-9781633430037_hr.jpg,,,,,,https://drive.google.com/file/d/1ClU2lzGzfAhwkLWdkIz_qrOxb0YIYMvE/view?usp=sharing
Aurélien Géron,2017,Hands-On Machine Learning with Scikit-Learn and TensorFlow,technical,"Through a series of recent breakthroughs, deep learning has boosted the entire field of machine learning. Now, even programmers who know close to nothing about this technology can use simple, efficient tools to implement programs capable of learning from data. This practical book shows you how. By using concrete examples, minimal theory, and two production-ready Python frameworks-scikit-learn and TensorFlow-author Aurelien Geron helps you gain an intuitive understanding of the concepts and tools for building intelligent systems. You'll learn a range of techniques, starting with simple linear regression and progressing to deep neural networks. With exercises in each chapter to help you apply what you've learned, all you need is programming experience to get started. Explore the machine learning landscape, particularly neural nets Use scikit-learn to track an example machine-learning project end-to-end Explore several training models, including support vector machines, decision trees, random forests, and ensemble methods Use the TensorFlow library to build and train neural nets Dive into neural net architectures, including convolutional nets, recurrent nets, and deep reinforcement learning Learn techniques for training and scaling deep neural nets Apply practical code examples without acquiring excessive machine learning theory or algorithm details",4.7,"https://images-na.ssl-images-amazon.com/images/I/51+kYprYK1L._SX379_BO1,204,203,200_.jpg",,,,,,https://drive.google.com/file/d/1p5MRC9zCiS4ZUBVUiKQTUV0ABhXtFy_u/view?usp=sharing
Christopher M. Bishop,2006,Pattern Recognition and Machine Learning,technical,"This Is The First Textbook On Pattern Recognition To Present The Bayesian Viewpoint. The Book Presents Approximate Inference Algorithms That Permit Fast Approximate Answers In Situations Where Exact Answers Are Not Feasible. It Uses Graphical Models To Describe Probability Distributions When No Other Books Apply Graphical Models To Machine Learning. No Previous Knowledge Of Pattern Recognition Or Machine Learning Concepts Is Assumed. Familiarity With Multivariate Calculus And Basic Linear Algebra Is Required, And Some Experience In The Use Of Probabilities Would Be Helpful Though Not Essential As The Book Includes A Self-contained Introduction To Basic Probability Theory.",4.5,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQTNaO1S8OepMrlVwqXRaZZrRA6r20i5YVs7W8DrmqUUFI4hMGu,,,,,,https://drive.google.com/file/d/1JhMZT6pyVWvdUlgqpWPFs5wbq3XmR-wZ/view?usp=sharing
Dieter Gollmann,2011,Computer Security,technical,"The third edition is completely revised to include the new advances in software and technology over the last few years.New material on web applications security (cross-site scripting, JavaScript hacking etc) and more information on SQL injection. It include new advances in software and technology over the last few years. Provides sections on Windows NT, CORBA and Java which are not examined in comparable titles. No active previous experience of security issues is necessary making this accessible to Software Developers and Managers whose responsibilities span any technical aspects of IT security. Written for self-study and course use, this book will suit a variety of introductory and more advanced security programmes for students of computer science, engineering and related disciplines.",3.8,"https://images-na.ssl-images-amazon.com/images/I/51ESVKtQhnL._SX383_BO1,204,203,200_.jpg",,,,,,https://drive.google.com/file/d/1Fpq6SBhb-338kOf_g7dM4eZKo-Pj5q4m/view?usp=sharing
Thomas H. Cormen,2001,Introduction to Algorithms,technical,"Introduction to Algorithms, the 'bible' of the field, is a comprehensive textbook covering the full spectrum of modern algorithms",4,"https://images-na.ssl-images-amazon.com/images/I/513P8XoCAEL._SX376_BO1,204,203,200_.jpg",,,,,,https://drive.google.com/file/d/1ysg_MVt6VzP6hKOgv7rQb01YyqOesCSf/view?usp=sharing
Reema Thareja,2014,Data Structures Using C,technical,"This second edition of Data Structures Using C has been developed to provide a comprehensive and consistent coverage of both the abstract concepts of data structures as well as the implementation of these concepts using C language. It begins with a thorough overview of the concepts of C programming followed by introduction of different data structures and methods to analyse the complexity of different algorithms. It then connects these concepts and applies them to the study of variousdata structures such as arrays, strings, linked lists, stacks, queues, trees, heaps, and graphs. The book utilizes a systematic approach wherein the design of each of the data structures is followed by algorithms of different operations that can be performed on them, and the analysis of these algorithms in terms of their running times. Each chapter includes a variety of end-chapter exercises in the form of MCQs with answers, review questions, and programming exercises to help readers test their knowledge.",4.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMamCfC2uEZgFHsbOAhznCoUzjcciLkLAwPuTuU0_-cGZq1y4T,,,,,,https://drive.google.com/file/d/10gmKZs8QDfYxfYDVajA24FUVNhAg6a2x/view?usp=sharing
Alex MacCaw,2011,JavaScript Web Applications,technical,"Building rich JavaScript applications that bring a desktop experience to the Web requires moving state from the server to the client side—not a simple task. This hands-on book takes proficient JavaScript developers through all the steps necessary to create state-of-the-art applications, including structure, templating, frameworks, communicating with the server, and many other issues.",4.6,https://learning.oreilly.com/library/cover/9781449308216/250w/,,,,,,https://drive.google.com/file/d/1zR85Igxhni9h9qukx7d4bT_KSep8Vtf7/view?usp=sharing
Herbert Schildt,2014,The Complete Reference Java,technical,"A step-by-step guide by the famous computing author Herbert Schildt, Java: The Complete Reference, Seventh Edition is an introductory book to Java. Whether a person is a rookie or a pro programmer, this book is for everyone. Introducing the readers to Java from the scratch to its importance and contribution to the web, the book has it all.",4.5,"https://images-na.ssl-images-amazon.com/images/I/51QkOLwKuZL._SX399_BO1,204,203,200_.jpg",,,,,,https://drive.google.com/file/d/1ClU2lzGzfAhwkLWdkIz_qrOxb0YIYMvE/view?usp=sharing
Barry Burd,2015,Android Application Development All-In-One for Dummies,technical,"Android Application Development All-in-One For Dummies covers the information you absolutely need to get started developing apps for Android. Inside, you'll quickly get up to speed on Android programming concepts and put your new knowledge to use to manage data, program cool phone features, refine your applications, navigate confidently around the Android native development kit, and add important finishing touches to your apps. Covering the latest features and enhancements to the Android Software Developer's Kit, this friendly, hands-on guide walks you through Android programming basics, shares techniques for developing great Android.",4.3,"https://images-eu.ssl-images-amazon.com/images/I/51kQCv2P5oL._SX198_BO1,204,203,200_QL40_FMwebp_.jpg",,,,,,https://drive.google.com/file/d/13AaM4o3uclPmAULnmlv4eAdRVMaxvybs/view?usp=sharing
